Rated,Average Rating,Count
APPROVED,6.968888888888889,45
G,7.025000000000001,40
NC-17,6.5,3
NOT RATED,7.215384615384615,117
PASSED,7.250000000000001,12
PG,6.973571428571429,140
PG-13,6.942325581395348,215
R,6.8857638888889,288
TV-14,7.5,7
TV-G,8.25,4
TV-MA,7.466666666666665,15
TV-PG,7.938709677419357,31
UNRATED,6.871428571428572,7
