Title,Book Rating,imdbRating
The Prophet,8.033333333333333,7.099999999999999
Dear John,8.02,6.3
The Red Tent,8.02,7.3
The Virgin Suicides,8.02,7.2
Cloud Atlas,8.02,7.5
Cujo,8.013333333333334,6.0
The Prince of Tides,8.01,6.7
Siddhartha,8.001052631578949,6.700000000000002
Perfume: The Story of a Murderer,8.0,7.5
Where the Heart Is,8.0,6.8
Message in a Bottle,8.0,6.2
Carrie,8.0,7.4
The Green Mile,8.0,8.5
Naked,7.99,7.9
Hamlet,7.9879999999999995,7.799999999999999
Midnight in the Garden of Good and Evil,7.98,6.6
Eat Pray Love,7.98,5.7
James and the Giant Peach,7.98,6.7
Apocalipsis,7.98,8.6
The Chamber,7.98,6.0
Inferno,7.98,6.2
Dante's Inferno: An Animated Epic,7.98,6.6
The Shining,7.9719999999999995,8.4
Twelfth Night,7.965000000000001,8.1
King Lear,7.963999999999999,8.3
High Fidelity,7.960000000000001,7.5
Der Prozeß,7.96,7.1
Madame Bovary,7.96,5.7
The Wind in the Willows,7.96,7.8
Fight Club,7.96,8.8
Bridge to Terabithia,7.96,7.2
The Woman in White,7.96,6.6000000000000005
Nights in Rodanthe,7.959999999999999,6.0
A Clockwork Orange,7.959999999999999,8.3
Don Quixote,7.950000000000002,6.2
My Sister's Keeper,7.95,7.4
Fahrenheit 451,7.946666666666666,7.3
The Corrections,7.945,7.2
En attendant Godot,7.94,6.3
Brave New World,7.94,5.3
Midwives,7.94,6.1
The Stand,7.94,7.2
The Namesake,7.9399999999999995,7.6
Frankenstein,7.936,7.9
Invisible Man,7.936,7.0
The Outsider,7.92,6.3
David Copperfield,7.92,7.8
Dolores Claiborne,7.92,7.4
A Midsummer Night's Dream,7.92,6.5
I Know Why the Caged Bird Sings,7.92,7.2
The Silence of the Lambs,7.919999999999999,8.6
House of Sand and Fog,7.915,7.6
Trainspotting,7.91,8.2
The Art of War by Sun Tzu,7.9,7.9
Into Thin Air,7.9,7.1
She's Come Undone,7.8999999999999995,6.8
The Cider House Rules,7.8999999999999995,7.4
Starship Troopers,7.895,7.2
Charlotte's Web,7.8933333333333335,6.3
The Kite Runner,7.89,7.6
A Christmas Carol,7.888571428571427,6.799999999999999
The Perks of Being a Wallflower,7.88,8.0
White Oleander,7.88,7.2
Like Water for Chocolate,7.88,7.2
The Story of My Life,7.88,6.8
Black Beauty,7.876666666666666,6.6000000000000005
Lolita,7.87,7.6
The Age of Innocence,7.86,7.2
Pippi Longstocking,7.86,7.0
The Plague,7.86,4.5
Into the Wild,7.86,8.1
Macbeth,7.859999999999999,6.6000000000000005
The Crucible,7.859999999999999,6.8
Angels & Demons,7.859999999999999,6.7
Catch-22,7.85,7.2
The Good Earth,7.846666666666667,7.8
Julius Caesar,7.845714285714285,7.3999999999999995
The Tempest,7.84,5.4
The Lovely Bones,7.836,6.7
Bel Canto,7.833333333333333,5.1
The Andromeda Strain,7.83,7.2
The Memory Keeper's Daughter,7.83,6.7
The Joy Luck Club,7.825,7.6
Les heures souterraines,7.82,7.5
The History of Love,7.82,6.4
The Reader,7.82,7.6
Die Pest in Florenz,7.82,6.4
A Room with a View,7.82,7.4
Girl with a Pearl Earring,7.815,6.9
The Catcher in the Rye,7.813333333333333,2.1
The Great Gatsby,7.8125,7.299999999999999
Where the Wild Things Are,7.812,6.8
The Fountainhead,7.8100000000000005,7.1
And Then There Were None,7.800000000000001,8.0
The Art of War,7.8,5.7
The Five People You Meet in Heaven,7.8,7.4
Atonement,7.8,7.8
Oliver Twist,7.796666666666667,6.8999999999999995
Breakfast at Tiffany's,7.78,7.7
The Bell Jar,7.779999999999999,5.7
The Master and Margarita,7.7799999999999985,7.599999999999999
The Awakening,7.775,6.5
Of Mice and Men,7.774285714285715,7.5
Jurassic Park,7.764,8.1
Love in the Time of Cholera,7.76,6.4
Walden,7.76,4.9
Animal Farm,7.76,7.2
Gone with the Wind,7.76,8.2
Beloved,7.76,5.9
Candide,7.753333333333333,6.400000000000001
Everything Is Illuminated,7.75,7.5
National Theatre Live: The Curious Incident of the Dog in the Night-Time,7.746666666666667,8.200000000000001
Desperation,7.74,5.3
Pet Sematary,7.74,6.6
The Time Machine,7.74,5.9
Treasure Island,7.735555555555554,7.0
Life of Pi,7.728,7.9
In Her Shoes,7.726666666666667,6.5
Dracula,7.723333333333334,7.6000000000000005
LolLOTR: the Silmarillion,7.723076923076925,7.0
As I Lay Dying,7.72,5.4
Angeli e demoni,7.72,7.2
The Adventures of Huckleberry Finn,7.71272727272727,6.299999999999998
The Historian,7.71,4.4
Romeo and Juliet,7.706666666666667,7.599999999999999
Wuthering Heights,7.702857142857143,7.700000000000001
Don Quijote de la Mancha,7.7,7.4
The Road,7.7,7.3
It,7.7,7.4
Jonathan Strange & Mr Norrell,7.699999999999999,8.2
Salem's Lot,7.695555555555556,6.799999999999999
On the Road,7.69,6.1000000000000005
The Metamorphosis,7.68,3.9
A Journey to the Center of the Earth,7.68,7.3
About a Boy,7.68,7.099999999999999
The Deep End of the Ocean,7.68,6.4
The Sun Also Rises,7.68,6.3
Journey to the Center of the Earth,7.68,5.8
Middlemarch,7.68,7.7
Iliad,7.66,6.1
The Shipping News,7.66,6.8
The Tenth Circle,7.66,5.9
A Streetcar Named Desire,7.65,8.0
Atlas Shrugged: Part I,7.6475,5.700000000000001
The Wedding,7.64,7.8
A Tale of Two Cities,7.638750000000002,7.799999999999998
Running with Scissors,7.626666666666668,6.2
Alice's Adventures in Wonderland,7.62,5.8
Othello,7.613333333333333,6.8999999999999995
The Sound and the Fury,7.6066666666666665,4.8
Never Let Me Go,7.6,7.2
Stardust,7.6,7.7
Snow Falling on Cedars,7.599999999999999,6.8
The Secret Life of Bees,7.595,7.3
Beowulf,7.59,6.2
Bag of Bones,7.58,5.8
Cell,7.58,4.3
The Odyssey,7.575,7.0
Great Expectations,7.574,6.799999999999999
The Man in the High Castle,7.573333333333334,8.1
Heart of Darkness,7.5575,5.799999999999999
The Alchemist,7.553333333333334,3.7999999999999994
The War of the Worlds,7.553333333333334,7.2
The Trial,7.55,7.8
Anthem,7.54,7.3
Los Angeles Plays Itself,7.54,8.0
Robinson Crusoe,7.53818181818182,5.8999999999999995
Night Shift,7.533333333333334,6.5
The Hours,7.53,7.6
Norwegian Wood,7.52,6.4
Lord of the Flies,7.509090909090909,6.3999999999999995
The Old Man and the Sea,7.506666666666667,7.0
Ways of Seeing,7.5,8.6
Choke,7.5,6.5
Bridget Jones's Diary,7.5,6.7
Romeo,7.48,7.1
Snow Flower and the Secret Fan,7.46,6.1
2001: A Space Odyssey,7.46,8.3
Le Petit Prince,7.46,7.3
American Psycho,7.45,7.6
The Devil Wears Prada,7.4,6.9
Alice in Wonderland,7.4,6.5
Asfixia,7.38,5.2
Veronika Decides to Die,7.38,6.5
El hacha diabólica,7.36,6.3
Oedipus the King,7.34,6.8
Julie,7.34,6.2
The Adventures of Robinson Crusoe,7.32,8.1
A Little Princess,7.32,7.7
The Nanny Diaries,7.3100000000000005,6.2
Needful Things,7.3,6.2
The Dead Zone,7.27,7.2
The Scarlet Letter,7.256363636363637,5.200000000000001
The Canterbury Tales,7.233333333333333,6.5
A Portrait of the Artist as a Young Man,7.22,6.3999999999999995
Gulliver's Travels,7.197777777777778,4.8999999999999995
The God Delusion Debate,7.18,8.0
Firestarter,7.12,6.0
A Separate Peace,7.12,5.400000000000001
Stiff,7.1,6.7
"Men Are from Mars, Women Are from Venus",7.04,5.4
Death of a Salesman,6.98,7.3
Sophie's World,6.96,5.9
Moby Dick,6.9399999999999995,7.3999999999999995
The Pearl,6.82,7.6
My Antonia,6.74,6.7
