,index,Title,imdbRating
193,249,Kiss the Girls,6.6
194,250,The Nightingale,7.0
195,251,Never Let Me Go,7.2
196,252,P.S. I Love You,7.1
197,253,Rebecca,8.1
198,254,Flowers for Algernon,6.9
199,256,Snow Flower and the Secret Fan,6.1
200,257,The Godfather,9.2
201,259,The Foundation of Criminal Excellence,8.5
202,263,Delirium,5.5
203,264,The Pelican Brief,6.6
204,265,Coraline,7.7
205,267,On the Road,6.1
207,269,The Lucky One,6.5
208,270,The Fountainhead,7.1
209,271,Watership Down,7.7
211,274,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3
212,275,Treasure Island,7.0
213,277,11.22.63,8.2
214,278,The Very Hungry Caterpillar,5.3
215,279,Cat's Cradle,6.2
216,280,The Time Machine,5.9
217,282,Heart of Darkness,5.8
218,283,Safe Haven,6.7
219,284,The Secret,5.7
220,286,Pet Sematary,6.6
221,287,She's Come Undone,6.8
223,291,Good in Bed?,6.0
224,292,The Thorn Birds,8.0
225,294,The Light Between Oceans,7.2
226,297,A Walk in the Woods,6.3
227,298,I Know Why the Caged Bird Sings,7.2
228,299,Orphan Train,7.3
229,300,City of Lost Souls,7.0
231,302,Neverwhere,7.3
232,305,White Oleander,7.2
233,306,Legend,7.0
234,308,Hepta: The Last Lecture,7.7
235,310,The Pact,5.8
236,312,Still Alice,7.5
237,314,James and the Giant Peach,6.7
238,315,1st to Die,5.7
239,317,One Day,7.0
240,318,I Am Number Four,6.1
241,320,The Casual Vacancy,6.6
242,322,Naked,7.9
244,324,The Wonderful Wizard of Oz,5.7
245,326,Salem's Lot,6.8
248,330,"The Tragedy of Othello, the Moor of Venice",6.9
249,331,Beloved,5.9
252,335,"Oh, the Places You'll Go!",8.8
253,338,Oliver Twist,6.9
255,341,How the Grinch Stole Christmas!,8.4
256,342,V for Vendetta,8.2
257,343,John Adams,8.6
258,344,Odd Thomas,6.9
262,350,The BFG,6.4
263,352,The Call of the Wild,6.0
264,353,Maze Runner: The Death Cure,6.3
265,354,Stardust,7.7
266,355,The Namesake,7.6
267,356,A Discovery of Witches,8.6
268,358,Where the Heart Is,6.8
269,360,A Million Little Pieces,1.3
270,361,Frostbite,2.9
271,363,Island of the Blue Dolphins,6.1
272,364,The Crucible,6.8
273,365,Hatchet,5.7
275,368,The Lorax,6.4
276,372,For Whom the Bell Tolls,7.0
278,378,A Farewell to Arms,6.5
279,379,The Tell-Tale Heart,7.6
280,382,Breakfast of Champions,4.6
281,384,Bel Canto,5.1
282,386,Things Fall Apart,8.3
283,389,The Other Hand,6.7
284,390,Evermore,7.5
285,391,The Witches,6.8
286,392,The Thirteenth Tale,7.0
288,395,Message in a Bottle,6.2
289,398,The Elite,3.7
290,400,Go Ask Alice,6.5
291,402,The Importance of Being Earnest,6.9
292,406,Red Dragon,7.2
293,407,"I, Robot",7.1
294,409,Crescendo,5.2
295,410,Before I Fall,6.4
297,416,Under the Dome,6.7
299,419,Winnie-the-Pooh,8.4
300,420,Before I Go to Sleep,6.3
301,421,A Study in Scarlet,5.7
303,426,Northanger Abbey,7.3
304,427,The 5th Wave,5.2
305,428,Cold Mountain,7.2
306,429,If You Give a Mouse a Cookie,6.5
307,430,Something Blue,7.8
308,431,A Streetcar Named Desire,8.0
309,432,The Historian,4.4
311,436,The Good Earth,7.8
312,437,Ways of Seeing,8.6
313,439,The Hobbit,6.8
314,441,Their Eyes Were Watching God,6.6
315,442,Fantastic Beasts and Where to Find Them,7.4
316,444,Mansfield Park,7.1
317,446,In the Woods,2.2
318,447,The God Delusion Debate,8.0
319,449,The World According to Garp,7.2
324,457,Choke,6.5
325,460,The Green Mile,8.5
326,461,The Prophet,7.1
327,465,The Shortest Way Home: C.S. Lewis and Mere Christianity,4.4
328,466,Hillary's America: The Secret History of the Democratic Party,5.4
329,468,The Clan of the Cave Bear,5.4
330,469,Black Beauty,6.6
331,471,American Psycho,7.6
332,472,The Princess Diaries,6.3
333,473,The No. 1 Ladies' Detective Agency,8.2
334,475,2001: A Space Odyssey,8.3
335,477,The One,5.9
336,480,Remember Me?,6.2
337,484,The Hiding Place,7.6
338,485,The Adventures of Sherlock Holmes,8.7
339,486,The Prince of Tides,6.7
341,489,Peter Pan,7.3
342,490,Stare Into the Lights My Pretties,9.2
343,492,The Lincoln Lawyer,7.3
344,493,Cloud Atlas,7.5
345,494,The Things They Carried,7.2
346,496,Pandemonium,5.4
347,500,Gulliver's Travels,4.9
348,501,Much Ado About Nothing,7.4
349,502,Beowulf,6.2
350,503,Batman: Year One,7.4
353,509,Midnight in the Garden of Good and Evil,6.6
354,510,Hopeless,6.0
355,511,A Little Princess,7.7
356,514,The Last Sacrifice,3.6
357,515,Little House on the Prairie,7.4
358,516,The Velveteen Rabbit,6.4
359,518,The War of the Worlds,7.2
360,519,Pretty Little Liars,7.5
361,520,Corduroy,8.6
362,522,Life After Life,6.4
363,523,The Rescue,5.5
364,524,Voyager,6.8
365,525,Cujo,6.0
366,526,The Virgin Suicides,7.2
367,527,Dead to the World,8.5
368,529,Madame Bovary,5.7
369,530,The Phantom Tollbooth,7.0
370,532,Club Dead,3.4
371,533,It's Kind of a Funny Story,7.1
373,535,"Batman: The Dark Knight Returns, Part 1",8.0
374,537,High Fidelity,7.5
375,538,The Guardian,6.9
376,542,Timeline,5.6
377,543,Candide,6.4
378,544,Tuck Everlasting,6.7
379,545,Christine,6.7
381,547,Outside In: The Story of Art in the Streets,8.5
382,548,The Scarlet Letter,5.2
384,550,Silence,7.2
385,551,The Magicians,7.5
386,554,Everything Is Illuminated,7.5
387,555,The Bourne Supremacy,7.8
388,556,Easy,6.8
389,557,David Copperfield,7.8
390,561,Because of Winn-Dixie,6.4
391,562,A Separate Peace,5.4
392,563,The Rainmaker,7.1
393,564,Don Quijote de la Mancha,7.4
395,567,Torment,7.4
396,568,The Tale of Peter Rabbit,8.7
397,569,The Silver Chair,7.2
398,571,"Girl, Interrupted",7.4
399,572,Jonathan Livingston Seagull,6.0
401,575,Cell,4.3
402,577,LolLOTR: the Silmarillion,7.0
403,580,Der Prozeß,7.1
404,582,Plain Truth,6.4
405,584,The Hound of the Baskervilles,7.6
406,586,The Mists of Avalon,7.0
407,588,Nights in Rodanthe,6.0
408,589,Mr. Mercedes,8.0
409,591,Midwives,6.1
410,592,The Polar Express,6.6
412,594,Patriot Games,6.9
413,599,Starship Troopers,7.2
414,600,I've Got Your Number,6.6
415,601,Sofies verden,6.9
416,602,The Martian Chronicles,6.7
417,604,Heidi,7.3
418,605,The Last Battle,7.0
419,606,World Without End,7.0
420,611,Inheritance,7.4
421,617,Freedom,6.2
422,618,Crossed,4.6
424,621,The Corrections,7.2
425,623,Congo,5.1
426,624,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2
427,627,Breakfast at Tiffany's,7.7
428,628,The Passage,6.3
429,630,Along for the Ride,7.3
431,633,The Dead Zone,7.2
433,637,Suzanne's Diary for Nicholas,6.6
434,638,Firestarter,6.0
436,643,THINK and GROW RICH: The Legacy,9.1
437,645,Jonathan Strange & Mr Norrell,8.2
438,646,A Bend in the Road,6.4
439,648,Gone,5.9
440,649,The Wedding,7.8
441,650,1776,7.6
