,Title,Book Rating,imdbRating
443,Waiting for Godot,7.62,7.7
444,The Adventures of Huckleberry Finn,7.62,6.3
445,The Cider House Rules,7.6,7.4
446,The Cider House Rules,8.2,7.4
447,Where the Wild Things Are,6.94,6.8
448,Moby Dick,6.94,7.4
449,Of Mice and Men,6.94,7.5
450,Le Petit Prince,7.46,7.3
451,The Count of Monte Cristo,8.56,7.8
452,The Count of Monte Cristo,8.44,7.8
453,The Count of Monte Cristo,8.44,7.8
454,The Count of Monte Cristo,8.44,7.8
455,The Count of Monte Cristo,8.44,7.8
456,Macbeth,8.44,6.6
457,Love in the Time of Cholera,7.76,6.4
458,Of Mice and Men,8.22,7.5
459,Of Mice and Men,7.68,7.5
460,Where the Wild Things Are,8.22,6.8
461,The Adventures of Huckleberry Finn,7.58,6.3
462,East of Eden,7.6,8.0
463,A Million Little Pieces,8.08,1.3
464,Snow Flower and the Secret Fan,7.46,6.1
465,The Brothers Karamazov,7.46,6.8
466,The Count of Monte Cristo,8.62,7.8
467,The Count of Monte Cristo,8.44,7.8
468,Crime and Punishment,8.44,7.2
469,Crime and Punishment,8.38,7.2
470,The Kite Runner,7.58,7.6
471,The Client,8.52,6.7
472,The Chamber,7.98,6.0
473,1776,8.06,7.6
474,Sharp Objects,8.44,8.3
475,Anna Karenina,8.4,6.6
476,Anna Karenina,8.04,6.6
477,Anna Karenina,8.04,6.6
478,Anna Karenina,8.04,6.6
479,In Cold Blood,8.04,8.0
480,Atlas Shrugged: Part I,7.36,5.7
481,Cloudy with a Chance of Meatballs,8.1,7.0
482,Cloudy with a Chance of Meatballs,8.3,7.0
483,Cloudy with a Chance of Meatballs,8.3,7.0
484,The BFG,7.58,6.4
485,The BFG,8.44,6.4
486,The BFG,8.44,6.4
487,Anna Karenina,8.44,6.6
488,Slaughterhouse-Five,8.4,6.9
489,Breakfast of Champions,8.12,4.6
490,Siddhartha,8.16,6.7
491,The Prophet,7.98,7.1
492,On the Road,8.46,6.1
493,American Psycho,7.28,7.6
494,She's Come Undone,8.34,6.8
495,Atlas Shrugged: Part I,7.68,5.7
496,The Corrections,7.36,7.2
497,The Hobbit,8.04,6.8
498,The Hobbit,9.08,6.8
499,The Thorn Birds,8.5,8.0
500,The Thorn Birds,8.44,8.0
501,The Master and Margarita,8.44,7.6
502,Crime and Punishment,8.64,7.2
503,Eleven Minutes,8.46,6.6
504,To Kill a Mockingbird,8.52,8.3
505,"Men Are from Mars, Women Are from Venus",7.04,5.4
506,The Odyssey,7.54,7.0
507,The Historian,7.46,4.4
508,Anthem,7.54,7.3
509,The Fountainhead,7.24,7.1
510,The Road,7.7,7.3
511,The Joy Luck Club,7.9,7.6
512,The Joy Luck Club,7.8,7.6
513,The Joy Luck Club,7.8,7.6
514,The Joy Luck Club,7.8,7.6
515,THINK and GROW RICH: The Legacy,7.8,9.1
516,THINK and GROW RICH: The Legacy,8.34,9.1
517,Big Fish in Middlesex,8.24,8.1
518,Fight Club,7.96,8.8
519,The Count of Monte Cristo,8.08,7.8
520,A Farewell to Arms,8.24,6.5
521,The Adventures of Sherlock Holmes,8.6,8.7
522,Timeline,8.6,5.6
523,The Old Man and the Sea,7.66,7.0
524,A Christmas Carol,7.46,6.8
525,A Christmas Carol,8.04,6.8
526,A Christmas Carol,8.04,6.8
527,Anna Karenina,8.04,6.6
528,Great Expectations,8.04,6.8
529,The Secret Life of Bees,7.5,7.3
530,The Secret Life of Bees,8.02,7.3
531,The Secret Life of Bees,8.02,7.3
532,The Red Tent,8.02,7.3
533,Salem's Lot,8.32,6.8
534,Apocalipsis,7.98,8.6
535,El hacha diabólica,7.36,6.3
536,Anna Karenina,8.38,6.6
537,The Hound of the Baskervilles,8.04,7.6
538,The Hound of the Baskervilles,8.18,7.6
539,The Fountainhead,8.38,7.1
540,Everything Is Illuminated,7.7,7.5
541,Everything Is Illuminated,7.8,7.5
542,Memoirs of a Geisha,8.06,7.4
543,Memoirs of a Geisha,8.16,7.4
544,Memoirs of a Geisha,8.16,7.4
545,Memoirs of a Geisha,8.16,7.4
546,Memoirs of a Geisha,8.16,7.4
547,The Catcher in the Rye,8.48,2.1
548,The Call of the Wild,8.48,6.0
549,War and Peace,7.66,6.8
550,Vergeef me,8.36,6.1
551,Salem's Lot,7.68,6.8
552,The BFG,7.98,6.4
553,The BFG,8.44,6.4
554,John Adams,8.22,8.6
555,The War of the Worlds,6.94,7.2
556,Madame Bovary,7.6,5.7
557,The Hours,7.3,7.6
558,The Hours,7.82,7.6
559,Madame Bovary,8.48,5.7
560,Heart of Darkness,7.3,5.8
561,The Old Man and the Sea,6.84,7.0
562,The Old Man and the Sea,7.46,7.0
563,Salem's Lot,7.46,6.8
564,Salem's Lot,7.98,6.8
565,Salem's Lot,7.98,6.8
566,1984,7.98,7.2
567,1984,8.28,7.2
568,Nineteen Eighty-Four,8.52,7.6
569,For Whom the Bell Tolls,8.38,7.0
570,The Alchemist,7.72,3.8
571,The War of the Worlds,7.64,7.2
572,Atonement,7.6,7.8
573,A Tale of Two Cities,7.76,7.8
574,A Tale of Two Cities,7.62,7.8
575,Little Women,7.62,7.3
576,Little Women,8.08,7.3
577,Little Women,8.08,7.3
578,The War of the Worlds,8.08,7.2
579,Life of Pi,7.6,7.9
580,"Men Are from Mars, Women Are from Venus",7.04,5.4
581,Siddhartha,8.16,6.7
582,Anna Karenina,7.64,6.6
583,Anna Karenina,8.04,6.6
584,Don Quixote,8.22,6.2
585,Don Quixote,7.7,6.2
586,A Brief History of Time,7.7,7.4
587,Don Quixote,8.38,6.2
588,Don Quixote,7.7,6.2
589,Don Quixote,7.7,6.2
590,Suzanne's Diary for Nicholas,7.7,6.6
591,Suzanne's Diary for Nicholas,8.32,6.6
592,Suzanne's Diary for Nicholas,8.32,6.6
593,Suzanne's Diary for Nicholas,8.32,6.6
594,The Diary of Anne Frank,8.32,7.4
595,The Kite Runner,8.2,7.6
596,The Westing Game,8.6,5.4
597,Siddhartha,8.06,6.7
598,Siddhartha,7.98,6.7
599,Of Mice and Men,7.98,7.5
600,Bel Canto,7.68,5.1
601,Bel Canto,7.84,5.1
602,Siddhartha,7.84,6.7
603,Bel Canto,7.98,5.1
604,Siddhartha,7.94,6.7
605,Siddhartha,7.98,6.7
606,Siddhartha,7.98,6.7
607,Siddhartha,7.98,6.7
608,Siddhartha,7.98,6.7
609,Fahrenheit 451,7.98,7.3
610,Fahrenheit 451,7.94,7.3
611,Heart of Darkness,8.6,5.8
612,Heart of Darkness,6.84,5.8
613,Heart of Darkness,6.84,5.8
614,Heart of Darkness,6.84,5.8
615,Congo,7.66,5.1
616,The Andromeda Strain,7.12,7.2
617,Heart of Darkness,8.16,5.8
618,Pride and Prejudice,6.84,8.9
619,Pride and Prejudice,8.48,8.9
620,Little Women,7.72,7.3
621,Little Women,8.08,7.3
622,Angela's Ashes,8.32,7.3
623,Girl with a Pearl Earring,8.16,6.9
624,The Pillars of the Earth,8.58,8.1
625,World Without End,8.3,7.0
626,Little Women,8.46,7.3
627,The Shining,9.02,8.4
628,Pet Sematary,8.36,6.6
629,Die Pest in Florenz,7.82,6.4
630,A Farewell to Arms,7.94,6.5
631,A Farewell to Arms,7.58,6.5
632,Mitch Albom's For One More Day,8.76,5.8
633,Art of War,8.42,7.6
634,Jane Eyre,7.9,7.4
635,Cold Mountain,8.62,7.2
636,Charlotte's Web,8.16,6.3
637,The Art of War,8.18,5.7
638,The Art of War,7.9,5.7
639,Naked,7.9,7.9
640,The Three Musketeers,8.16,5.8
641,The Three Musketeers,8.12,5.8
642,The Three Musketeers,8.12,5.8
643,The Three Musketeers,8.12,5.8
644,Where the Red Fern Grows,8.12,6.9
645,Where the Red Fern Grows,8.08,6.9
646,Charlotte's Web,7.62,6.3
647,A Christmas Carol,8.3,6.8
648,The Three Musketeers,8.04,5.8
649,A Christmas Carol,8.12,6.8
650,The Namesake,8.04,7.6
651,High Fidelity,7.92,7.5
652,The Namesake,7.88,7.6
653,The Namesake,7.92,7.6
654,The Namesake,7.92,7.6
655,A Study in Scarlet,7.92,5.7
656,Christine,8.3,6.7
657,Night Shift,7.46,6.5
658,Dolores Claiborne,7.92,7.4
659,Carrie,7.62,7.4
660,Cat's Cradle,8.6,6.2
661,Into the Wild,7.82,8.1
662,Charlotte's Web,7.9,6.3
663,A Farewell to Arms,7.96,6.5
664,Cell,7.58,4.3
665,A Farewell to Arms,8.8,6.5
666,Into Thin Air,7.58,7.1
667,The Pact,8.22,5.8
668,Cold Mountain,8.0,7.2
669,My Sister's Keeper,7.66,7.4
670,P.S. I Love You,8.12,7.1
671,P.S. I Love You,8.02,7.1
672,The Virgin Suicides,8.02,7.2
673,The Tenth Circle,7.66,5.9
674,Sophie's World,6.96,5.9
675,The Sound and the Fury,7.76,4.8
676,As I Lay Dying,7.72,5.4
677,The Art of War,7.44,5.7
678,The Memory Keeper's Daughter,8.38,6.7
679,The Memory Keeper's Daughter,7.28,6.7
680,Schindler's List,7.28,8.9
681,Schindler's List,8.68,8.9
682,Schindler's List,8.68,8.9
683,Carrie,8.68,7.4
684,Carrie,7.86,7.4
685,The Name of the Rose,7.86,7.8
686,Dracula,8.22,7.6
687,The Historian,7.96,4.4
688,Insomnia,8.22,7.2
689,Bag of Bones,7.58,5.8
690,Desperation,7.74,5.3
691,Carrie,7.6,7.4
692,Cujo,7.96,6.0
693,The Shining,7.3,8.4
694,Thinner,8.36,5.7
695,Night Shift,7.34,6.5
696,Cujo,7.92,6.0
697,Needful Things,7.3,6.2
698,Misery,8.84,7.8
699,Misery,8.22,7.8
700,The Great Gatsby,8.04,7.3
701,Julius Caesar,8.12,7.4
702,Othello,7.32,6.9
703,Othello,7.76,6.9
704,Othello,7.76,6.9
705,Othello,7.76,6.9
706,Sense and Sensibility,7.56,7.7
707,King Lear,7.6,8.3
708,King Lear,7.8,8.3
709,The Scarlet Letter,7.8,5.2
710,The Scarlet Letter,6.74,5.2
711,The Scarlet Letter,6.74,5.2
712,The Scarlet Letter,7.14,5.2
713,The Scarlet Letter,6.74,5.2
714,The Scarlet Letter,7.22,5.2
715,Norwegian Wood,7.52,6.4
716,Pride and Prejudice,8.48,8.9
717,Emma,8.48,6.7
718,Emma,7.98,6.7
719,Emma,7.98,6.7
720,Emma,7.98,6.7
721,Emma,7.98,6.7
722,Don Quixote,8.0,6.2
723,Neverwhere,7.7,7.3
724,Neverwhere,8.36,7.3
725,The Tempest,8.36,5.4
726,Cujo,8.0,6.0
727,Le pacte du silence,8.08,5.8
728,The Shortest Way Home: C.S. Lewis and Mere Christianity,8.0,4.4
729,King Lear,7.94,8.3
730,In Cold Blood,7.8,8.0
731,In Cold Blood,8.1,8.0
732,Jane Eyre,8.34,7.4
733,Jonathan Strange & Mr Norrell,7.8,8.2
734,Jonathan Strange & Mr Norrell,7.6,8.2
735,The Scarlet Letter,7.6,5.2
736,Much Ado About Nothing,8.62,7.4
737,No Country for Old Men,8.16,8.1
738,Sense and Sensibility,8.26,7.7
739,Sense and Sensibility,8.12,7.7
740,Sense and Sensibility,8.12,7.7
741,Sense and Sensibility,8.12,7.7
742,The Color Purple,8.12,7.8
743,The Dark Half,8.84,5.9
744,The Nanny Diaries,7.88,6.2
745,The Nanny Diaries,7.76,6.2
746,The Nanny Diaries,6.8,6.2
747,The Nanny Diaries,6.8,6.2
748,Much Ado About Nothing,8.12,7.4
749,Much Ado About Nothing,8.12,7.4
750,Much Ado About Nothing,8.12,7.4
751,The Plague,7.78,4.5
752,En attendant Godot,7.94,6.3
753,A Midsummer Night's Dream,7.62,6.5
754,The Story of My Life,7.88,6.8
755,Redeeming Love,8.14,4.1
756,The Time Traveler's Wife,8.98,7.1
757,Beloved,7.98,5.9
758,Wuthering Heights,7.66,7.7
759,In Cold Blood,8.52,8.0
760,The Green Mile,8.0,8.5
761,Dreamcatcher,8.68,5.5
762,The God Delusion Debate,7.18,8.0
763,Jane Eyre,7.78,7.4
764,The Shining,7.88,8.4
765,Marley,8.36,8.0
766,Marley,8.24,8.0
767,Cujo,8.24,6.0
768,The Shining,7.3,8.4
769,The Shining,8.36,8.4
770,One Flew Over the Cuckoo's Nest,7.92,8.7
771,One Flew Over the Cuckoo's Nest,8.36,8.7
772,One Flew Over the Cuckoo's Nest,8.36,8.7
773,One Flew Over the Cuckoo's Nest,8.36,8.7
774,One Flew Over the Cuckoo's Nest,8.36,8.7
775,The Color Purple,8.36,7.8
776,The Odyssey,8.16,7.0
777,The Man in the High Castle,7.46,8.1
778,The Man in the High Castle,7.32,8.1
779,Death of a Salesman,6.98,7.3
780,The Things They Carried,8.14,7.2
781,Lord of the Flies,8.24,6.4
782,Julius Caesar,7.32,7.4
783,Salem's Lot,7.12,6.8
784,The Shortest Way Home: C.S. Lewis and Mere Christianity,8.42,4.4
785,The Shortest Way Home: C.S. Lewis and Mere Christianity,8.62,4.4
786,The Dead Zone,6.94,7.2
787,Pet Sematary,7.12,6.6
788,The Shortest Way Home: C.S. Lewis and Mere Christianity,8.48,4.4
789,The Shortest Way Home: C.S. Lewis and Mere Christianity,8.62,4.4
790,Island of the Blue Dolphins,8.62,6.1
791,Island of the Blue Dolphins,7.6,6.1
792,The Dead Zone,7.6,7.2
793,Night Shift,7.8,6.5
794,Cujo,7.92,6.0
795,Matilda,8.68,6.9
796,Alice in Wonderland,7.4,6.5
797,Anna Karenina,7.82,6.6
798,Cujo,8.04,6.0
799,A Streetcar Named Desire,7.3,8.0
800,The Dark Half,7.94,5.9
801,Twelfth Night,7.86,8.1
802,Jane Eyre,7.94,7.4
803,Jane Eyre,8.2,7.4
804,Jane Eyre,8.2,7.4
805,Jane Eyre,8.2,7.4
806,Jane Eyre,8.2,7.4
807,Neverwhere,8.08,7.3
808,Neverwhere,8.36,7.3
809,The Time Traveler's Wife,8.36,7.1
810,Firestarter,7.12,6.0
811,Gulliver's Travels,7.98,4.9
812,Lord of the Flies,7.22,6.4
813,Lord of the Flies,7.3,6.4
814,Gulliver's Travels,7.1,4.9
815,Stiff,7.1,6.7
816,Dreamcatcher,8.48,5.5
817,The Hours,7.18,7.6
818,Anna Karenina,8.8,6.6
819,Rebecca,8.04,8.1
820,Island of the Blue Dolphins,8.42,6.1
821,I Know Why the Caged Bird Sings,7.92,7.2
822,The Time Traveler's Wife,8.38,7.1
823,The Time Traveler's Wife,7.9,7.1
824,Julius Caesar,8.68,7.4
825,The Tempest,7.32,5.4
826,Julius Caesar,7.6,7.4
827,Othello,7.76,6.9
828,Julius Caesar,7.76,7.4
829,Othello,7.32,6.9
830,Island of the Blue Dolphins,7.76,6.1
831,Night at the Museum,8.2,6.4
832,Night at the Museum,8.6,6.4
833,Watership Down,8.6,7.7
834,Much Ado About Nothing,8.12,7.4
835,Carrie,8.24,7.4
836,Marley,7.86,8.0
837,My Sister's Keeper,8.24,7.4
838,Invisible Man,8.12,7.0
839,Invisible Man,7.68,7.0
840,Twelfth Night,8.12,8.1
841,Twelfth Night,7.94,8.1
842,Much Ado About Nothing,7.94,7.4
843,Julius Caesar,7.32,7.4
844,Julius Caesar,8.12,7.4
845,One Flew Over the Cuckoo's Nest,8.5,8.7
846,Watership Down,8.36,7.7
847,Watership Down,8.12,7.7
848,Watership Down,8.5,7.7
849,One Flew Over the Cuckoo's Nest,8.6,8.7
850,One Flew Over the Cuckoo's Nest,8.36,8.7
851,A Streetcar Named Desire,8.0,8.0
852,Plain Truth,7.94,6.4
853,The Pact,8.2,5.8
854,Pride and Prejudice,8.0,8.9
855,Pride and Prejudice,8.48,8.9
856,Pride and Prejudice,8.48,8.9
857,Pride and Prejudice,8.48,8.9
858,Pride and Prejudice,8.48,8.9
859,Julie,7.34,6.2
860,Plain Truth,8.2,6.4
861,In Her Shoes,7.94,6.5
862,The Outsiders,9.08,7.2
863,A Beautiful Mind,8.12,8.2
864,A Beautiful Mind,8.12,8.2
865,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",8.16,6.9
866,A Tree Grows in Brooklyn,8.38,8.1
867,Siddhartha,8.12,6.7
868,The Secret Garden,7.98,7.3
869,The Stranger,8.76,7.4
870,The Outsider,7.92,6.3
871,Paradise Lost,9.02,5.2
872,Into the Inferno,8.68,7.2
873,Dante's Inferno: An Animated Epic,7.98,6.6
874,The Hobbit,9.02,6.8
875,The Guardian,8.5,6.9
