,Title,Book Rating,imdbRating
1043,The Secret Life of Bees,6.84,7.3
1044,The Brothers Karamazov,8.02,6.8
1045,Middlemarch,7.3,7.7
1046,Middlemarch,7.86,7.7
1047,Middlemarch,7.86,7.7
1048,Madame Bovary,7.86,5.7
1049,Middlemarch,7.86,7.7
1050,Inferno,7.98,6.2
1051,Eat Pray Love,7.98,5.7
1052,Where the Wild Things Are,7.02,6.8
1053,Where the Wild Things Are,8.44,6.8
1054,Madame Bovary,8.18,5.7
1055,Madame Bovary,7.3,5.7
1056,Black Beauty,7.3,6.6
1057,Black Beauty,7.88,6.6
1058,Treasure Island,7.88,7.0
1059,1984,7.64,7.2
1060,Pippi Longstocking,7.86,7.0
1061,Candide,8.22,6.4
1062,Candide,7.52,6.4
1063,Candide,7.52,6.4
1064,Middlemarch,7.52,7.7
1065,Beowulf,8.34,6.2
1066,Beowulf,6.84,6.2
1067,The Scarlet Letter,6.84,5.2
1068,The Scarlet Letter,6.74,5.2
1069,Salem's Lot,6.74,6.8
1070,Salem's Lot,7.98,6.8
1071,The Adventures of Huckleberry Finn,7.98,6.3
1072,The Adventures of Huckleberry Finn,7.6,6.3
1073,The Adventures of Huckleberry Finn,7.6,6.3
1074,The Adventures of Huckleberry Finn,7.6,6.3
1075,The Tale of Peter Rabbit,7.98,8.7
1076,The Tale of Peter Rabbit,8.34,8.7
1077,The Prophet,8.34,7.1
1078,Business As Usual - Der Prophet fliegt mit,8.46,8.0
1079,Watchers,8.5,5.3
1080,The Silence of the Lambs,8.32,8.6
1081,Suzanne's Diary for Nicholas,8.04,6.6
1082,Shutter Island,8.32,8.1
1083,The Silence of the Lambs,8.04,8.6
1084,The Princess Bride,8.28,8.1
1085,Kiss the Girls,8.86,6.6
1086,Watchers,7.98,5.3
1087,The Perks of Being a Wallflower,7.88,8.0
1088,Ten Little Indians,8.44,6.7
1089,The Godfather,8.18,9.2
1090,The Reader,8.18,7.6
1091,The Godfather,7.46,9.2
1092,Congo,8.72,5.1
1093,The Andromeda Strain,8.54,7.2
1094,And Then There Were None,7.94,8.0
1095,Esfera,8.06,7.7
1096,Jurassic Park,7.54,8.1
